 "experiment" , "image" , "image_url" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250092" , "http://idr.openmicroscopy.org/webclient/?show=image-250092" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273159" , "http://idr.openmicroscopy.org/webclient/?show=image-273159" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_224012" , "http://idr.openmicroscopy.org/webclient/?show=image-224012" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250111" , "http://idr.openmicroscopy.org/webclient/?show=image-250111" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250171" , "http://idr.openmicroscopy.org/webclient/?show=image-250171" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295900" , "http://idr.openmicroscopy.org/webclient/?show=image-295900" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179717" , "http://idr.openmicroscopy.org/webclient/?show=image-179717" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_1938575" , "http://idr.openmicroscopy.org/webclient/?show=image-1938575" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295857" , "http://idr.openmicroscopy.org/webclient/?show=image-295857" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295905" , "http://idr.openmicroscopy.org/webclient/?show=image-295905" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_368845" , "http://idr.openmicroscopy.org/webclient/?show=image-368845" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_341882" , "http://idr.openmicroscopy.org/webclient/?show=image-341882" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273201" , "http://idr.openmicroscopy.org/webclient/?show=image-273201" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223982" , "http://idr.openmicroscopy.org/webclient/?show=image-223982" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179739" , "http://idr.openmicroscopy.org/webclient/?show=image-179739" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_341879" , "http://idr.openmicroscopy.org/webclient/?show=image-341879" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273242" , "http://idr.openmicroscopy.org/webclient/?show=image-273242" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250156" , "http://idr.openmicroscopy.org/webclient/?show=image-250156" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_341932" , "http://idr.openmicroscopy.org/webclient/?show=image-341932" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273220" , "http://idr.openmicroscopy.org/webclient/?show=image-273220" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250119" , "http://idr.openmicroscopy.org/webclient/?show=image-250119" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_341858" , "http://idr.openmicroscopy.org/webclient/?show=image-341858" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_341892" , "http://idr.openmicroscopy.org/webclient/?show=image-341892" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179707" , "http://idr.openmicroscopy.org/webclient/?show=image-179707" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250086" , "http://idr.openmicroscopy.org/webclient/?show=image-250086" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295912" , "http://idr.openmicroscopy.org/webclient/?show=image-295912" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250153" , "http://idr.openmicroscopy.org/webclient/?show=image-250153" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179754" , "http://idr.openmicroscopy.org/webclient/?show=image-179754" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273166" , "http://idr.openmicroscopy.org/webclient/?show=image-273166" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179758" , "http://idr.openmicroscopy.org/webclient/?show=image-179758" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_427077" , "http://idr.openmicroscopy.org/webclient/?show=image-427077" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295854" , "http://idr.openmicroscopy.org/webclient/?show=image-295854" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_315009" , "http://idr.openmicroscopy.org/webclient/?show=image-315009" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314963" , "http://idr.openmicroscopy.org/webclient/?show=image-314963" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_427120" , "http://idr.openmicroscopy.org/webclient/?show=image-427120" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250166" , "http://idr.openmicroscopy.org/webclient/?show=image-250166" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179787" , "http://idr.openmicroscopy.org/webclient/?show=image-179787" ,
