 "experiment" , "experimentStep" , "experimentInput" , "experimentInputType" , "experimentInputName" , "experimentOutput" , "experimentOutputType" , "experimentOutputName" ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125796" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125992" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126412" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126053" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125896" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125770" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126481" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126389" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126391" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126464" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125854" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126067" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125828" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125725" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125717" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126409" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125734" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126381" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125739" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125703" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126437" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126120" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126047" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126143" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125988" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126089" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125830" , "https://w3id.org/reproduceme#Image" ,  ,
